Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1759429812826,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,0,0,0,2.5641026496887207,0,7.500000476837158,0,0,2.5,2.5,0,37338.12939453125,120786.04406738281,80990.15350341797,4224.6033935546875,33403068416,8589930496,6261088256,0
199,1759429813026,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,2.5,0,0,0,0,0,2.5641026496887207,0,2.6315789222717285,0,0,2.5,37338.405334472656,120786.42449951172,80990.27838134766,4224.605285644531,33403068416,8589930496,6261088256,0
199,1759429813226,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,5,0,9.523809432983398,0,5.263157844543457,5,5,0,37338.69323730469,120786.9208984375,80990.49603271484,4224.605285644531,33403068416,8589930496,6261088256,0
200,1759429813426,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,5,0,9.523809432983398,0,5.263157844543457,5,5,0,37338.98193359375,120787.76818847656,80991.0517578125,4224.6085205078125,33403068416,8589930496,6261088256,0
200,1759429813627,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,2.5,4.878048419952393,5,0,2.5641026496887207,0,2.5,2.5,0,2.5,0,0,37339.27978515625,120788.53491210938,80991.5269165039,4224.6085205078125,33403068416,8589930496,6261088256,0
199,1759429813827,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,5,0,4.761904716491699,0,0,5,0,5,0,0,37339.567626953125,120789.06726074219,80991.7816772461,4224.6085205078125,33403068416,8589930496,6261088256,0
200,1759429814027,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,5,0,4.761904716491699,0,0,5,0,5,0,0,37339.84533691406,120789.79071044922,80992.22137451172,4224.614929199219,33403068416,8589930496,6261088256,0
200,1759429814227,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,0,0,0,37340.116760253906,120790.15631103516,80992.33172607422,4224.614929199219,33403068416,8589930496,6261088256,0
200,1759429814427,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5,0,0,0,0,0,0,0,0,4.761904716491699,0,37340.390625,120790.85137939453,80992.7651977539,4224.6185302734375,33403068416,8589930496,6260957184,0
199,1759429814628,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,37340.666015625,120791.24133300781,80992.88946533203,4224.621154785156,33403068416,8589930496,6260142080,0
199,1759429814828,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,4.761904716491699,0,5,0,0,37340.936584472656,120791.59100341797,80992.98278808594,4224.621154785156,33403068416,8589930496,6260142080,0
199,1759429815028,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,5,26.3157901763916,0,14.285715103149414,0,0,0,0,5,4.761904716491699,0,37341.237731933594,120792.05499267578,80993.12371826172,4224.647399902344,33403068416,8589930496,6260142080,0
199,1759429815228,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,5,26.3157901763916,0,14.285715103149414,0,0,0,0,5,4.761904716491699,0,37341.5234375,120792.44567871094,80993.23333740234,4224.654113769531,33403068416,8589930496,6260142080,0
200,1759429815428,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,9.523809432983398,0,0,0,0,0,0,5,0,0,37341.799743652344,120792.81958007813,80993.33966064453,4224.659912109375,33403068416,8589930496,6259634176,0
200,1759429815628,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,0,21.052631378173828,0,15.000000953674316,4.761904716491699,0,0,5.263157844543457,10,0,0,37342.10339355469,120793.47863769531,80993.65704345703,4224.696105957031,33403068416,8589930496,6259376128,0
199,1759429815829,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,5,0,5,0,0,37342.38458251953,120793.84350585938,80993.75512695313,4224.6978759765625,33403068416,8589930496,6259376128,0
200,1759429816029,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,0,15.789472579956055,5.263157844543457,0,0,0,4.761904716491699,5.263157844543457,5,0,0,37342.67999267578,120794.2670288086,80993.880859375,4224.711120605469,33403068416,8589930496,6259376128,0
199,1759429816229,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5,5.263157844543457,5,0,0,0,0,0,5,0,0,37342.974182128906,120794.6646118164,80993.99865722656,4224.7130126953125,33403068416,8589930496,6259376128,0
199,1759429816429,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,9.523809432983398,15.000000953674316,9.523809432983398,0,4.761904716491699,0,0,0,0,0,0,37343.27362060547,120795.20184326172,80994.24035644531,4224.716369628906,33403068416,8589930496,6258368512,0
199,1759429816629,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5.263157844543457,19.047618865966797,0,5,0,0,0,0,10,0,0,37343.57727050781,120795.62872314453,80994.37048339844,4224.720703125,33403068416,8589930496,6258368512,0
200,1759429816829,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5.263157844543457,19.047618865966797,0,5,0,0,0,0,10,0,0,37344.017150878906,120797.57458496094,80995.82202148438,4224.842834472656,33403068416,8589930496,6262239232,0
200,1759429817029,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,15.000000953674316,35,5.128205299377441,7.500000476837158,2.4390242099761963,0,0,0,2.6315789222717285,10,2.5,0,37344.390197753906,120798.49102783203,80996.32116699219,4224.915954589844,33403068416,8589930496,6262239232,0
199,1759429817230,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,25,10,0,0,0,0,0,10.526315689086914,0,0,37344.695068359375,120798.96215820313,80996.47369384766,4224.936218261719,33403068416,8589930496,6262239232,0
200,1759429817430,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,0,0,0,0,0,0,4.761904716491699,0,5,0,0,37344.980712890625,120799.34948730469,80996.58337402344,4224.93798828125,33403068416,8589930496,6262120448,0
199,1759429817630,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,4.761904716491699,0,9.523809432983398,0,4.761904716491699,0,0,0,5.263157844543457,0,0,0,37345.26971435547,120800.3267211914,80997.25091552734,4224.9512939453125,33403068416,8589930496,6262185984,0
199,1759429817830,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5,15.000000953674316,10,0,0,9.523809432983398,10,10.526315689086914,10,9.523809432983398,0,37345.572265625,120800.86437988281,80997.482421875,4224.9588623046875,33403068416,8589930496,6266687488,0
199,1759429818030,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,5.555555820465088,0,0,5,5,0,0,10,0,0,37345.86834716797,120801.4595336914,80997.7798461914,4224.967834472656,33403068416,8589930496,6266654720,0
199,1759429818230,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,4.761904716491699,0,5.263157844543457,0,0,0,0,5,0,5,0,0,37346.157775878906,120802.04370117188,80998.06921386719,4224.9735107421875,33403068416,8589930496,6266642432,0
199,1759429818430,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,9.090909004211426,4.761904716491699,0,0,0,0,0,5,4.761904716491699,0,37346.433349609375,120802.46154785156,80998.22485351563,4224.9735107421875,33403068416,8589930496,6266535936,0
200,1759429818630,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,5,0,0,0,15.000000953674316,0,0,5.263157844543457,0,37346.723388671875,120803.84552001953,80999.32684326172,4224.9735107421875,33403068416,8589930496,6273859584,0
200,1759429818831,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,10,4.761904716491699,0,0,4.761904716491699,0,0,0,5.263157844543457,9.523809432983398,14.285715103149414,0,37347.035888671875,120805.3890991211,81000.54357910156,4224.9974365234375,33403068416,8589930496,6300831744,0
200,1759429819031,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,10.526315689086914,0,0,9.523809432983398,5.263157844543457,0,0,10,25,0,37347.358154296875,120806.31372070313,81001.12951660156,4225.024353027344,33403068416,8589930496,6302638080,0
199,1759429819231,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,10.526315689086914,0,0,9.523809432983398,5.263157844543457,0,0,10,25,0,37347.650390625,120806.92138671875,81001.45080566406,4225.024353027344,33403068416,8589930496,6302638080,0
200,1759429819431,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,4.878048419952393,0,4.878048419952393,0,0,0,2.4390242099761963,0,2.5641026496887207,0,0,0,37347.925720214844,120807.31256103516,81001.58654785156,4225.024353027344,33403068416,8589930496,6302638080,0
199,1759429819631,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,37348.20104980469,120807.78369140625,81001.79846191406,4225.024353027344,33403068416,8589930496,6302240768,0
200,1759429819831,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,37348.477294921875,120808.171875,81001.93817138672,4225.024353027344,33403068416,8589930496,6302240768,0
