entry_id,run_id,subject,gc,workload,jdk,energy_j,runtime_s,batch_source,throughput_idx,workload_k,throughput,energy_per_op,power_w,edp,nee,power_mean,power_ratio,cop,throughput_scaled,is_frontier,eff_index
56,run_5,PetClinic,Serial,Medium,oracle,626.06163,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,208.68721,3.477926948502861,112697.3540163,1.3904348445840424,3.477926948502861,0.5987026513190022,0.28752760331279203,0.016665740792178214,False,10.3
57,run_44,ANDIE,Parallel,Medium,openjdk,400.982249,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,133.66074966666667,2.227555408032887,72180.81464249,1.6838523683892386,2.227555408032887,0.6829101403852413,0.448922615524559,0.016665740792178214,False,11.9
58,run_45,ANDIE,Parallel,Heavy,openjdk,655.71402,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,131.142804,2.1856405453151564,196720.7631402,2.75355232885391,2.1856405453151564,0.6700601413775529,0.4575317758189767,0.016666111129629013,False,13.6
59,run_26,TodoApp,Parallel,Medium,openjdk,537.209989,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,179.0699963333333,2.984334142547636,96703.17011988998,1.4415052410500375,2.984334142547636,0.6763085871104467,0.33508312147189057,0.016665740792178214,False,9.7
60,run_24,TodoApp,Serial,Heavy,oracle,699.613016,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,139.9226032,2.3319656544781844,209890.90093016,1.8772842090075579,2.3319656544781844,0.5284691062187433,0.4288227822222221,0.016666111129629013,False,6.5
61,run_50,ANDIE,G1,Medium,openjdk,347.779139,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,115.92637966666666,1.9319989945003055,62603.72281138999,1.4604355388348378,1.9319989945003055,0.5923002856855849,0.5175986130668981,0.016665740792178214,False,5.5
62,run_28,TodoApp,Parallel,Light,oracle,401.551828,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,401.551828,3.345986401133239,48190.23487828,1.077491253825556,3.345986401133239,0.75826607455873,0.29886553025478946,0.008332638946754437,False,7.8
63,run_8,PetClinic,Parallel,Medium,openjdk,608.126312,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,202.70877066666665,3.378291828231765,109468.81742312,1.3506018794238945,3.378291828231765,0.5815511091635607,0.2960075833719229,0.016665740792178214,False,7.1
64,run_45,ANDIE,Parallel,Heavy,openjdk,692.097349,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,138.4194698,2.3069142661911273,207636.12567349,2.9063375328356824,2.3069142661911273,0.7072394876015761,0.4334794815114947,0.016666111129629013,False,19.2
65,run_21,TodoApp,Serial,Heavy,openjdk,794.699381,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,158.9398762,2.6489096396786773,238417.76129381,2.1324311651448475,2.6489096396786773,0.6002948229734744,0.37751382116654747,0.016666111129629013,False,13.7
