__run_id,__done,subject,gc,workload,jdk,energy_j,runtime_s,status,batch_num
run_94_repetition_0,DONE,PetClinic,Serial,Heavy,openjdk,,,FAILED,1
run_95_repetition_0,DONE,PetClinic,Serial,Heavy,oracle,,,FAILED,1
run_96_repetition_0,DONE,PetClinic,Parallel,Light,openjdk,,,FAILED,1
run_97_repetition_0,DONE,PetClinic,Parallel,Light,oracle,,,FAILED,1
run_98_repetition_0,TODO,PetClinic,Parallel,Medium,openjdk, , , , 
run_99_repetition_0,TODO,PetClinic,Parallel,Medium,oracle, , , , 
run_100_repetition_0,TODO,PetClinic,Parallel,Heavy,openjdk, , , , 
run_101_repetition_0,TODO,PetClinic,Parallel,Heavy,oracle, , , , 
run_102_repetition_0,TODO,PetClinic,G1,Light,openjdk, , , , 
run_103_repetition_0,TODO,PetClinic,G1,Light,oracle, , , , 
run_104_repetition_0,TODO,PetClinic,G1,Medium,openjdk, , , , 
run_105_repetition_0,TODO,PetClinic,G1,Medium,oracle, , , , 
run_106_repetition_0,TODO,PetClinic,G1,Heavy,openjdk, , , , 
run_107_repetition_0,TODO,PetClinic,G1,Heavy,oracle, , , , 
run_108_repetition_0,TODO,TodoApp,Serial,Light,openjdk, , , , 
run_109_repetition_0,TODO,TodoApp,Serial,Light,oracle, , , , 
run_110_repetition_0,TODO,TodoApp,Serial,Medium,openjdk, , , , 
run_111_repetition_0,TODO,TodoApp,Serial,Medium,oracle, , , , 
run_112_repetition_0,TODO,TodoApp,Serial,Heavy,openjdk, , , , 
run_113_repetition_0,TODO,TodoApp,Serial,Heavy,oracle, , , , 
run_114_repetition_0,TODO,TodoApp,Parallel,Light,openjdk, , , , 
run_115_repetition_0,TODO,TodoApp,Parallel,Light,oracle, , , , 
run_116_repetition_0,TODO,TodoApp,Parallel,Medium,openjdk, , , , 
run_117_repetition_0,TODO,TodoApp,Parallel,Medium,oracle, , , , 
run_118_repetition_0,TODO,TodoApp,Parallel,Heavy,openjdk, , , , 
run_119_repetition_0,TODO,TodoApp,Parallel,Heavy,oracle, , , , 
run_120_repetition_0,TODO,TodoApp,G1,Light,openjdk, , , , 
run_121_repetition_0,TODO,TodoApp,G1,Light,oracle, , , , 
run_122_repetition_0,TODO,TodoApp,G1,Medium,openjdk, , , , 
run_123_repetition_0,TODO,TodoApp,G1,Medium,oracle, , , , 
run_124_repetition_0,TODO,TodoApp,G1,Heavy,openjdk, , , , 
run_125_repetition_0,TODO,TodoApp,G1,Heavy,oracle, , , , 
run_126_repetition_0,TODO,ANDIE,Serial,Light,openjdk, , , , 
run_127_repetition_0,TODO,ANDIE,Serial,Light,oracle, , , , 
run_128_repetition_0,TODO,ANDIE,Serial,Medium,openjdk, , , , 
run_129_repetition_0,TODO,ANDIE,Serial,Medium,oracle, , , , 
run_130_repetition_0,TODO,ANDIE,Serial,Heavy,openjdk, , , , 
run_131_repetition_0,TODO,ANDIE,Serial,Heavy,oracle, , , , 
run_132_repetition_0,TODO,ANDIE,Parallel,Light,openjdk, , , , 
run_133_repetition_0,TODO,ANDIE,Parallel,Light,oracle, , , , 
run_134_repetition_0,TODO,ANDIE,Parallel,Medium,openjdk, , , , 
run_135_repetition_0,TODO,ANDIE,Parallel,Medium,oracle, , , , 
run_136_repetition_0,TODO,ANDIE,Parallel,Heavy,openjdk, , , , 
run_137_repetition_0,TODO,ANDIE,Parallel,Heavy,oracle, , , , 
run_138_repetition_0,TODO,ANDIE,G1,Light,openjdk, , , , 
run_139_repetition_0,TODO,ANDIE,G1,Light,oracle, , , , 
run_140_repetition_0,TODO,ANDIE,G1,Medium,openjdk, , , , 
run_141_repetition_0,TODO,ANDIE,G1,Medium,oracle, , , , 
run_142_repetition_0,TODO,ANDIE,G1,Heavy,openjdk, , , , 
run_143_repetition_0,TODO,ANDIE,G1,Heavy,oracle, , , , 
